Ability,Count
Swift Swim,44
Sturdy,43
Chlorophyll,40
Keen Eye,40
Intimidate,38
Levitate,37
Inner Focus,35
Frisk,33
Sheer Force,32
Own Tempo,32
Run Away,30
Gluttony,30
Swarm,30
Pressure,30
Overgrow,28
Pickup,28
Torrent,27
Sand Veil,26
Blaze,26
Water Absorb,26
Flash Fire,26
Shell Armor,26
Overcoat,25
Infiltrator,25
Regenerator,25
Sap Sipper,24
Weak Armor,24
Guts,24
Unnerve,24
Telepathy,24
Thick Fat,23
Mold Breaker,23
Oblivious,22
Rock Head,22
Technician,22
Hustle,22
Static,21
Hydration,21
Insomnia,21
Flame Body,21
Shed Skin,21
Damp,20
Rattled,19
Poison Point,19
Ice Body,19
Rivalry,18
Natural Cure,18
Sand Force,18
Prankster,18
Clear Body,18
Lightning Rod,18
Defiant,17
Unburden,17
Synchronize,17
Leaf Guard,17
Iron Fist,17
Serene Grace,17
Moxie,16
Snow Cloak,15
Soundproof,15
Big Pecks,15
Unaware,15
Cute Charm,15
Vital Spirit,15
Sniper,15
Limber,14
Pickpocket,14
Steadfast,14
Scrappy,14
Early Bird,14
Adaptability,13
Reckless,13
Anticipation,13
Volt Absorb,12
Compound Eyes,12
Speed Boost,12
Cursed Body,12
Water Veil,12
Competitive,12
Analytic,12
Klutz,12
Effect Spore,11
Beast Boost,11
Poison Touch,11
Battle Armor,11
Sand Rush,10
Justified,10
Storm Drain,10
Strong Jaw,10
Contrary,10
Tinted Lens,10
Sticky Hold,10
No Guard,10
Shield Dust,10
Quick Feet,10
Bulletproof,10
Magic Guard,10
Healer,10
Aftermath,9
Plus,9
Magnet Pull,9
Skill Link,9
Super Luck,9
Stench,9
Tangled Feet,9
Hyper Cutter,9
Friend Guard,9
Harvest,9
Anger Point,8
Stakeout,8
Illuminate,8
Heavy Metal,8
Rain Dish,8
Shields Down,8
Sweet Veil,8
Protosynthesis,7
Minus,7
Protean,7
Solar Power,7
Slush Rush,7
Snow Warning,7
Moody,7
Gooey,7
Cloud Nine,7
Quark Drive,7
Magic Bounce,6
Fluffy,6
Dry Skin,6
Light Metal,6
Rough Skin,6
Cheek Pouch,6
Aroma Veil,6
Magician,6
Simple,5
Shadow Tag,5
Huge Power,5
Wonder Skin,5
Suction Cups,5
Tough Claws,5
Trace,5
Forewarn,5
Download,4
Sharpness,4
Dancer,4
Drought,4
Honey Gather,4
Grassy Surge,4
Solid Rock,4
Sand Stream,4
Motor Drive,4
White Smoke,4
Corrosion,4
Flower Veil,4
Zen Mode,4
Symbiosis,4
Psychic Surge,3
Gale Wings,3
Purifying Salt,3
Filter,3
Heatproof,3
Marvel Scale,3
Prism Armor,3
Galvanize,3
Arena Trap,3
Ripen,3
Steam Engine,3
Iron Barbs,3
Libero,3
Forecast,3
Truant,3
Liquid Ooze,3
Thermal Exchange,3
Long Reach,3
Magma Armor,3
Neutralizing Gas,3
Illusion,3
Liquid Voice,3
Tangling Hair,2
Refrigerate,2
Wind Power,2
Wandering Spirit,2
Turboblaze,2
Screen Cleaner,2
IntimidateIntimidate,2
Mega Launcher,2
Fur Coat,2
Stamina,2
Merciless,2
Immunity,2
Teravolt,2
Toxic Debris,2
Multiscale,2
Sand Spit,2
Stance Change,2
Slow Start,2
Water Compaction,2
Unseen Fist,2
Water Bubble,2
Mummy,2
Schooling,2
Intrepid Sword,2
Wind Rider,2
Grass Pelt,2
Ice Scales,2
Misty Surge,2
Dauntless Shield,2
Poison Heal,2
Ice Face,2
Cotton Down,2
Berserk,2
Hunger Switch,2
Power of Alchemy,2
Anger PointAnger Point,2
Pastel Veil,2
Normalize,2
Gorilla Tactics,2
Defeatist,2
Propeller Tail,2
Aura Break,2
Flower Gift,2
Punk Rock,2
Flare Boost,2
Zero to Hero,2
Electric Surge,2
Drizzle,2
As One,2
Mycelium Might,2
Multitype,1
Transistor,1
Commander,1
Costar,1
Cud Chew,1
Triage,1
Cud ChewSheer Force,1
Cud ChewCud Chew,1
Color Change,1
Curious Medicine,1
Dark Aura,1
Thick FatThick Fat,1
Dazzling,1
Primordial Sea,1
Comatose,1
Victory Star,1
Well-Baked Body,1
Air Lock,1
Rocky Payload,1
Quick Draw,1
Wonder Guard,1
Anger Shell,1
Armor Tail,1
Earth Eater,1
Full Metal Body,1
Vessel of Ruin,1
Disguise,1
Bad Dreams,1
Ball Fetch,1
Battery,1
Battle Bond,1
Beads of Ruin,1
Pure Power,1
Chilling Neigh,1
Desolate Land,1
Dragon's Maw,1
Queenly Majesty,1
Mirror Armor,1
Guard Dog,1
Gulp Missile,1
Hadron Engine,1
Stalwart,1
Stall,1
Seed Sower,1
Orichalcum Pulse,1
Shadow Shield,1
Soul-Heart,1
Imposter,1
Innards Out,1
Opportunist,1
Lingering AromaAroma Veil,1
Neuroforce,1
Mimicry,1
Grim Neigh,1
Steely Spirit,1
Perish Body,1
Power Construct,1
Tablets of Ruin,1
Power Spot,1
Electromorphosis,1
Sword of Ruin,1
Emergency Exit,1
Fairy Aura,1
Surge Surfer,1
Supreme Overlord,1
Steelworker,1
Wimp Out,1
RKS System,1
GluttonyGluttony,1
Good as Gold,1
Pixilate,1
Receiver,1
